2.0 TO 2.5; 0.0 TO 1.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.20;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.50;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.50;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.55;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.55;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.50;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.40;
2.0 TO 2.5; 6.0 TO 7.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.35;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.35;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.45;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.45;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.40;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.30;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.15;
2.0 TO 2.5; 6.0 TO 7.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.40;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.25;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.60;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.60;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.60;
2.0 TO 2.5; 7.0 TO 8.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.25;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.55;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.20;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.50;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.45;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.35;
2.0 TO 2.5; 7.0 TO 8.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.35;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.35;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.40;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.40;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.40;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.30;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.15;
2.0 TO 2.5; 7.0 TO 8.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.60;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.80;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.85;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.85;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.85;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.80;
2.5 TO 3.0; 0.0 TO 1.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.75;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.40;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.75;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.90;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.90;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.90;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.80;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.75;
2.5 TO 3.0; 0.0 TO 1.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.65;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.45;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.70;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.75;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.75;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.65;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.60;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.55;
2.5 TO 3.0; 0.0 TO 1.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.45;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.25;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.50;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.55;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.55;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.45;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.40;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.35;
2.5 TO 3.0; 0.0 TO 1.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.30;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.30;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.40;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.35;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.35;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.20;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.15;
2.5 TO 3.0; 0.0 TO 1.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.60;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.85;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.85;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.75;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.40;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.90;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.90;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.90;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.85;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.70;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.45;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.75;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.85;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.80;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.75;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.70;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.60;
2.5 TO 3.0; 1.0 TO 2.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.55;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.30;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.65;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.65;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.65;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.60;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.50;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.45;
2.5 TO 3.0; 1.0 TO 2.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.35;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.40;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.50;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.45;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.40;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.30;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.15;
2.5 TO 3.0; 1.0 TO 2.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.50;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.70;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.70;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.35;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.70;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.85;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.90;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.90;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.85;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.80;
2.5 TO 3.0; 2.0 TO 3.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.45;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.85;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.85;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.80;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.75;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.65;
2.5 TO 3.0; 2.0 TO 3.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.30;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.65;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.70;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.70;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.65;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.60;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.50;
2.5 TO 3.0; 2.0 TO 3.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.40;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.45;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.55;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.50;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.50;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.30;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
2.5 TO 3.0; 2.0 TO 3.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.45;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.60;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.65;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.35;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.65;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.75;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.85;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.75;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.45;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.80;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.75;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.65;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.30;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.65;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.70;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.65;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.60;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.55;
2.5 TO 3.0; 3.0 TO 4.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.45;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.45;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.60;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.55;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.50;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.35;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
2.5 TO 3.0; 3.0 TO 4.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.40;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.50;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.55;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.60;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.60;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 0.0 TO 1.0; 0.30;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 1.0 TO 2.0; 0.55;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 2.0 TO 3.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 3.0 TO 4.0; 0.70;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 4.0 TO 5.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 5.0 TO 6.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 6.0 TO 7.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 2.5 TO 3.0; 7.0 TO 8.0; 0.70;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 0.0 TO 1.0; 0.40;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 1.0 TO 2.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 2.0 TO 3.0; 0.70;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 3.0 TO 4.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 4.0 TO 5.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 5.0 TO 6.0; 0.75;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 6.0 TO 7.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 3.0 TO 3.5; 7.0 TO 8.0; 0.60;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 0.0 TO 1.0; 0.30;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 1.0 TO 2.0; 0.60;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 2.0 TO 3.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 3.0 TO 4.0; 0.70;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 4.0 TO 5.0; 0.65;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 5.0 TO 6.0; 0.60;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 6.0 TO 7.0; 0.50;
2.5 TO 3.0; 4.0 TO 5.0; 3.5 TO 4.0; 7.0 TO 8.0; 0.40;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 1.0 TO 2.0; 0.45;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 2.0 TO 3.0; 0.55;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 3.0 TO 4.0; 0.55;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 4.0 TO 5.0; 0.50;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 5.0 TO 6.0; 0.35;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 6.0 TO 7.0; 0.20;
2.5 TO 3.0; 4.0 TO 5.0; 4.0 TO 4.5; 7.0 TO 8.0; -;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 0.0 TO 1.0; -;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 1.0 TO 2.0; 0.35;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 2.0 TO 3.0; 0.45;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 3.0 TO 4.0; 0.50;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 4.0 TO 5.0; 0.50;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 5.0 TO 6.0; 0.55;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 6.0 TO 7.0; 0.55;
2.5 TO 3.0; 5.0 TO 6.0; 2.0 TO 2.5; 7.0 TO 8.0; 0.55;
